GTIN13;BU;Project Code;Commited Qty
139475;Store 16;Project 2023_01;16
139407;Store 14;Project 2023_03;1
139608;Store 5;Project 2022_01;9
139373;Store 9;Project 2024_03;13
139399;Store 1;Project 2024_02;8
139377;Store 12;Project 2022_01;11
139557;Store 4;Project 2023_02;6
139624;Store 10;Project 2023_03;5
139461;Store 13;Project 2023_03;8
139341;Store 10;Project 2023_03;2
139389;Store 3;Project 2023_01;2
139315;Store 7;Project 2022_01;33
139510;Store 2;Project 2022_01;2
139384;Store 2;Project 2023_02;8
139378;Store 2;Project 2024_02;32
139495;Store 14;Project 2022_01;15
139498;Store 8;Project 2022_02;1
139463;Store 14;Project 2022_01;14
139482;Store 7;Project 2022_03;1
139621;Store 11;Project 2023_02;1
139438;Store 14;Project 2023_03;1
139505;Store 3;Project 2022_02;18
139410;Store 2;Project 2024_03;4
139395;Store 15;Project 2023_03;4
139521;Store 15;Project 2022_03;1
139596;Store 6;Project 2022_03;1
139469;Store 11;Project 2023_03;1
139613;Store 14;Project 2023_01;1
139432;Store 4;Project 2023_02;4
139544;Store 4;Project 2022_03;4
139339;Store 8;Project 2024_01;405
139529;Store 9;Project 2024_02;11
139601;Store 7;Project 2022_01;235
139419;Store 5;Project 2022_02;23
139525;Store 11;Project 2024_03;43
139639;Store 6;Project 2022_02;43
139308;Store 10;Project 2023_01;11
139332;Store 2;Project 2023_01;11
139515;Store 7;Project 2023_01;21
139420;Store 5;Project 2023_01;21
139605;Store 9;Project 2022_03;22
139333;Store 2;Project 2022_01;15
139559;Store 2;Project 2023_02;15
139374;Store 3;Project 2022_01;18
139437;Store 1;Project 2024_02;18
139344;Store 6;Project 2023_03;12
139478;Store 11;Project 2024_03;30
139545;Store 1;Project 2022_02;20
139462;Store 3;Project 2023_03;4
139586;Store 15;Project 2022_02;50
139458;Store 3;Project 2022_02;4
139549;Store 10;Project 2022_02;68
139506;Store 13;Project 2024_01;6
139507;Store 8;Project 2024_03;58
139327;Store 1;Project 2022_01;6
139476;Store 13;Project 2022_01;6
139574;Store 10;Project 2023_01;6
139410;Store 16;Project 2022_02;17
139335;Store 12;Project 2023_02;17
139587;Store 11;Project 2022_01;40
139469;Store 4;Project 2024_02;7
139563;Store 12;Project 2022_01;7
139527;Store 14;Project 2024_02;7
139634;Store 14;Project 2024_03;7
139604;Store 7;Project 2022_03;11
139589;Store 1;Project 2023_01;4
139559;Store 8;Project 2022_02;4
139457;Store 9;Project 2022_02;11
139520;Store 4;Project 2023_01;1
139335;Store 6;Project 2023_03;46
139485;Store 16;Project 2023_01;1
139405;Store 6;Project 2022_03;102
139497;Store 10;Project 2022_02;2
139403;Store 10;Project 2024_02;19
139419;Store 13;Project 2024_02;2
139639;Store 15;Project 2024_02;19
139393;Store 1;Project 2024_02;2
139616;Store 1;Project 2022_02;15
139403;Store 14;Project 2022_01;15
139476;Store 15;Project 2022_02;2
139326;Store 5;Project 2022_03;2
139463;Store 6;Project 2023_01;2
139466;Store 1;Project 2023_02;3
139605;Store 11;Project 2022_01;2
139557;Store 4;Project 2024_02;2
139478;Store 7;Project 2023_02;2
139309;Store 11;Project 2024_03;1
139477;Store 14;Project 2022_02;6
139532;Store 10;Project 2023_01;11
139424;Store 5;Project 2023_03;13
139505;Store 14;Project 2022_03;1
139591;Store 13;Project 2023_01;1
139331;Store 3;Project 2023_02;1
139430;Store 16;Project 2023_01;3
139609;Store 9;Project 2024_03;3
139379;Store 14;Project 2022_03;6
139407;Store 8;Project 2022_01;1
139501;Store 7;Project 2022_03;1
139490;Store 11;Project 2023_02;1
139556;Store 9;Project 2023_03;1
139506;Store 10;Project 2022_02;2
139339;Store 15;Project 2022_03;2
139468;Store 12;Project 2023_01;5
139417;Store 6;Project 2024_02;10
139385;Store 11;Project 2024_03;2
139565;Store 2;Project 2023_02;2
139468;Store 6;Project 2022_02;5
139506;Store 14;Project 2022_03;5
139305;Store 9;Project 2023_03;10
139345;Store 7;Project 2022_02;10
139415;Store 3;Project 2023_01;13
139436;Store 1;Project 2022_03;8
139439;Store 4;Project 2024_02;8
139580;Store 16;Project 2024_02;9
139423;Store 7;Project 2024_02;9
139584;Store 5;Project 2022_01;8
139518;Store 3;Project 2024_01;18
139489;Store 14;Project 2023_02;12
139572;Store 3;Project 2022_03;5
139447;Store 7;Project 2022_03;5
139387;Store 7;Project 2024_03;5
139394;Store 2;Project 2023_01;37
139617;Store 16;Project 2023_03;3
139455;Store 2;Project 2022_03;7
139305;Store 3;Project 2024_01;3
139577;Store 7;Project 2023_03;27
139596;Store 13;Project 2024_02;15
139389;Store 11;Project 2024_01;5
139437;Store 16;Project 2023_01;5
139624;Store 15;Project 2023_02;5
139591;Store 11;Project 2023_01;16
139623;Store 5;Project 2024_02;2
139514;Store 3;Project 2024_01;7
139587;Store 10;Project 2022_02;1
139414;Store 10;Project 2022_02;3
139622;Store 9;Project 2023_01;3
139607;Store 9;Project 2022_02;25
139531;Store 11;Project 2024_03;6
139435;Store 13;Project 2023_01;6
139429;Store 1;Project 2024_03;56
139368;Store 15;Project 2024_03;4
139501;Store 2;Project 2024_02;19
139562;Store 5;Project 2023_02;1
139528;Store 5;Project 2022_03;3
139431;Store 9;Project 2023_02;1
139580;Store 4;Project 2024_02;3
139410;Store 13;Project 2024_01;1
139308;Store 11;Project 2024_02;1
139604;Store 9;Project 2023_01;1
139547;Store 6;Project 2023_02;1
139463;Store 12;Project 2024_03;1
139336;Store 9;Project 2024_03;1
139323;Store 12;Project 2022_03;2
139420;Store 13;Project 2022_02;1
139327;Store 10;Project 2022_02;3
139387;Store 12;Project 2022_02;3
139427;Store 10;Project 2023_01;59
139472;Store 8;Project 2024_01;5
139468;Store 10;Project 2023_03;6
139407;Store 9;Project 2024_03;5
139558;Store 4;Project 2023_01;40
139395;Store 6;Project 2024_03;56
139300;Store 9;Project 2022_03;23
139457;Store 16;Project 2024_02;18
139364;Store 12;Project 2023_01;15
139348;Store 7;Project 2022_02;30
139570;Store 16;Project 2022_03;13
139592;Store 2;Project 2023_02;9
139554;Store 3;Project 2022_01;1
139456;Store 1;Project 2023_02;4
139605;Store 3;Project 2024_01;2
139503;Store 8;Project 2023_01;1
139532;Store 11;Project 2022_01;1
139518;Store 2;Project 2024_03;1
139557;Store 10;Project 2023_01;21
139638;Store 1;Project 2023_03;20
139524;Store 3;Project 2024_03;8
139344;Store 1;Project 2022_02;63
139605;Store 6;Project 2022_02;6
139572;Store 7;Project 2023_02;5
139376;Store 8;Project 2024_01;3
139626;Store 2;Project 2022_02;55
139522;Store 16;Project 2023_01;6
139433;Store 12;Project 2022_03;2
139384;Store 7;Project 2024_03;6
139468;Store 5;Project 2022_02;6
139413;Store 16;Project 2024_01;14
139595;Store 1;Project 2024_01;1
139491;Store 16;Project 2022_03;5
139341;Store 16;Project 2023_03;16
139510;Store 2;Project 2022_01;124
139360;Store 2;Project 2024_01;58
139388;Store 13;Project 2023_02;54
139538;Store 8;Project 2023_01;36
139589;Store 15;Project 2024_02;23
139338;Store 15;Project 2024_03;2
139480;Store 1;Project 2024_01;12
139560;Store 3;Project 2022_02;6
139472;Store 15;Project 2024_03;5
139530;Store 3;Project 2024_03;1
139610;Store 1;Project 2024_01;4
139403;Store 9;Project 2023_02;1
139392;Store 6;Project 2022_01;2
139516;Store 5;Project 2023_02;2
139611;Store 6;Project 2024_02;2
139323;Store 6;Project 2024_02;17
139384;Store 6;Project 2023_01;26
139328;Store 3;Project 2023_02;15
139629;Store 15;Project 2022_02;22
139421;Store 6;Project 2024_01;11
139462;Store 5;Project 2024_03;11
139497;Store 11;Project 2023_01;17
139384;Store 3;Project 2023_01;3
139312;Store 13;Project 2023_01;3
139428;Store 10;Project 2024_02;2
139498;Store 12;Project 2023_02;2
139396;Store 16;Project 2022_01;4
139547;Store 13;Project 2022_01;9
139303;Store 3;Project 2024_02;13
139351;Store 12;Project 2023_01;8
139353;Store 13;Project 2023_01;10
139362;Store 3;Project 2023_03;6
139632;Store 14;Project 2022_02;27
139567;Store 3;Project 2023_02;8
139304;Store 6;Project 2024_03;2
139321;Store 9;Project 2022_03;2
139305;Store 8;Project 2023_03;2
139575;Store 11;Project 2022_03;2
139634;Store 8;Project 2022_03;3
139571;Store 6;Project 2023_02;85
139597;Store 5;Project 2022_03;2
139448;Store 15;Project 2022_02;235
139453;Store 8;Project 2023_01;2
139515;Store 8;Project 2022_01;43
139301;Store 15;Project 2024_03;43
139495;Store 3;Project 2024_03;11
139607;Store 8;Project 2022_01;11
139459;Store 13;Project 2023_02;21
139364;Store 7;Project 2022_01;21
139521;Store 1;Project 2023_02;22
139484;Store 4;Project 2022_01;15
139528;Store 2;Project 2024_03;15
139516;Store 16;Project 2024_01;18
139356;Store 3;Project 2024_01;18
139608;Store 3;Project 2024_03;12
139499;Store 16;Project 2022_01;30
139622;Store 3;Project 2023_02;3
139443;Store 14;Project 2024_03;20
139482;Store 12;Project 2023_03;3
139503;Store 8;Project 2024_01;4
139603;Store 10;Project 2024_03;9
139331;Store 1;Project 2024_03;4
139373;Store 16;Project 2022_03;24
139483;Store 15;Project 2022_01;85
139508;Store 3;Project 2024_03;167
139458;Store 16;Project 2023_02;10
139489;Store 13;Project 2024_02;103
139444;Store 9;Project 2023_03;10
139549;Store 12;Project 2023_02;10
139591;Store 12;Project 2023_03;10
139308;Store 12;Project 2023_02;31
139499;Store 9;Project 2023_03;31
139534;Store 14;Project 2024_03;56
139469;Store 3;Project 2024_01;9
139536;Store 11;Project 2023_02;9
139359;Store 12;Project 2023_02;9
139319;Store 6;Project 2024_01;9
139386;Store 12;Project 2024_02;4
139563;Store 14;Project 2022_02;16
139442;Store 10;Project 2023_02;16
139585;Store 4;Project 2022_01;4
139626;Store 15;Project 2023_03;1
139617;Store 13;Project 2022_03;1
139529;Store 3;Project 2024_01;2
139503;Store 8;Project 2022_02;2
139620;Store 13;Project 2024_02;2
139326;Store 2;Project 2023_02;15
139606;Store 10;Project 2023_02;15
139567;Store 16;Project 2024_01;2
139384;Store 16;Project 2022_03;2
139639;Store 7;Project 2022_02;2
139553;Store 1;Project 2024_02;3
139536;Store 4;Project 2023_01;33
139590;Store 15;Project 2023_03;8
139465;Store 1;Project 2023_03;2
139442;Store 7;Project 2024_03;32
139590;Store 10;Project 2022_01;2
139577;Store 10;Project 2024_01;15
139392;Store 8;Project 2024_02;1
139583;Store 13;Project 2024_02;2
139576;Store 6;Project 2024_02;14
139548;Store 8;Project 2022_01;6
139536;Store 10;Project 2022_03;1
139590;Store 6;Project 2023_02;13
139362;Store 12;Project 2024_01;1
139508;Store 8;Project 2022_01;1
139300;Store 10;Project 2022_02;18
139526;Store 7;Project 2024_01;4
139637;Store 14;Project 2023_02;4
139306;Store 9;Project 2024_01;1
139317;Store 1;Project 2023_01;1
139501;Store 15;Project 2024_03;1
139483;Store 9;Project 2024_01;1
139345;Store 1;Project 2024_01;5
139571;Store 14;Project 2023_01;4
139540;Store 3;Project 2023_03;5
139441;Store 7;Project 2023_03;4
139397;Store 14;Project 2024_01;10
139514;Store 12;Project 2023_02;11
139525;Store 14;Project 2024_02;10
139565;Store 1;Project 2023_02;23
139302;Store 11;Project 2023_03;13
139414;Store 3;Project 2022_02;8
139351;Store 14;Project 2022_02;8
139599;Store 2;Project 2023_02;9
139459;Store 12;Project 2024_03;9
139619;Store 2;Project 2024_01;8
139423;Store 15;Project 2022_03;18
139372;Store 3;Project 2024_02;12
139455;Store 14;Project 2022_01;5
139360;Store 4;Project 2024_03;5
139544;Store 2;Project 2022_03;37
139384;Store 12;Project 2022_03;7
139611;Store 4;Project 2023_02;50
139441;Store 6;Project 2024_01;27
139478;Store 4;Project 2022_03;68
139374;Store 7;Project 2024_02;5
139335;Store 4;Project 2023_02;6
139595;Store 7;Project 2023_01;58
139447;Store 8;Project 2022_01;6
139567;Store 1;Project 2024_01;6
139598;Store 9;Project 2023_01;6
139364;Store 9;Project 2023_01;17
139434;Store 14;Project 2024_02;17
139579;Store 3;Project 2023_02;40
139538;Store 5;Project 2022_02;7
139492;Store 4;Project 2022_03;7
139406;Store 15;Project 2024_01;7
139640;Store 8;Project 2023_03;7
139631;Store 5;Project 2023_01;1
139311;Store 11;Project 2022_02;11
139366;Store 7;Project 2024_01;1
139557;Store 8;Project 2023_02;1
139349;Store 5;Project 2022_01;11
139550;Store 3;Project 2022_02;1
139605;Store 12;Project 2023_03;1
139407;Store 10;Project 2024_01;46
139471;Store 3;Project 2022_03;1
139322;Store 5;Project 2024_01;102
139511;Store 10;Project 2024_03;1
139478;Store 10;Project 2023_02;19
139324;Store 16;Project 2024_03;1
139387;Store 9;Project 2022_02;19
139402;Store 8;Project 2024_01;2
139525;Store 11;Project 2023_02;1
139304;Store 9;Project 2024_01;3
139424;Store 8;Project 2023_03;3
139572;Store 4;Project 2023_01;59
139441;Store 11;Project 2022_01;5
139310;Store 13;Project 2024_03;5
139383;Store 4;Project 2022_02;56
139610;Store 3;Project 2023_03;18
139325;Store 6;Project 2022_02;30
139601;Store 14;Project 2022_01;1
139589;Store 15;Project 2024_03;11
139515;Store 4;Project 2023_03;1
139465;Store 8;Project 2022_03;1
139369;Store 11;Project 2023_01;1
139455;Store 5;Project 2022_02;3
139305;Store 6;Project 2022_03;3
139403;Store 6;Project 2023_03;6
139449;Store 7;Project 2023_01;1
139500;Store 14;Project 2023_01;1
139593;Store 1;Project 2023_01;1
139352;Store 8;Project 2024_02;1
139324;Store 3;Project 2023_01;2
139398;Store 15;Project 2022_02;2
139471;Store 4;Project 2022_02;5
139522;Store 12;Project 2023_02;10
139548;Store 16;Project 2022_01;2
139438;Store 13;Project 2024_01;2
139424;Store 3;Project 2023_03;3
139487;Store 10;Project 2023_01;6
139392;Store 7;Project 2022_03;6
139521;Store 3;Project 2024_01;6
139563;Store 13;Project 2022_01;14
139350;Store 13;Project 2022_01;1
139628;Store 16;Project 2022_01;5
139378;Store 12;Project 2024_01;16
139507;Store 1;Project 2023_01;124
139552;Store 9;Project 2024_03;58
139371;Store 6;Project 2024_02;54
139514;Store 10;Project 2024_03;36
139322;Store 11;Project 2023_02;23
139447;Store 6;Project 2023_03;2
139443;Store 2;Project 2022_01;12
139578;Store 14;Project 2022_03;5
139449;Store 1;Project 2024_02;3
139343;Store 15;Project 2023_03;6
139517;Store 10;Project 2022_01;3
139563;Store 11;Project 2024_01;5
139537;Store 16;Project 2022_02;15
139428;Store 13;Project 2023_03;4
139592;Store 14;Project 2022_02;5
139304;Store 14;Project 2023_03;2
139411;Store 6;Project 2022_01;5
139544;Store 1;Project 2022_02;16
139334;Store 11;Project 2023_03;2
139608;Store 6;Project 2023_01;7
139471;Store 10;Project 2022_01;1
139352;Store 16;Project 2024_03;3
139506;Store 3;Project 2024_01;3
139473;Store 11;Project 2023_02;25
139459;Store 5;Project 2023_03;6
139527;Store 6;Project 2024_03;6
139489;Store 12;Project 2023_01;56
139513;Store 1;Project 2024_02;2
139422;Store 11;Project 2024_03;4
139555;Store 7;Project 2023_02;19
139612;Store 10;Project 2023_03;3
139555;Store 14;Project 2024_03;3
139348;Store 13;Project 2024_01;9
139326;Store 2;Project 2022_02;13
139605;Store 1;Project 2022_02;8
139486;Store 12;Project 2023_03;10
139529;Store 11;Project 2024_02;6
139487;Store 8;Project 2022_01;27
139332;Store 13;Project 2024_02;8
139587;Store 15;Project 2024_02;2
139516;Store 15;Project 2024_01;2
139470;Store 6;Project 2022_02;4
139350;Store 10;Project 2022_03;6
139590;Store 16;Project 2024_02;2
139480;Store 4;Project 2022_02;3
139527;Store 9;Project 2023_01;40
139365;Store 7;Project 2023_03;2
139396;Store 11;Project 2024_02;23
139543;Store 1;Project 2024_03;2
139388;Store 12;Project 2023_01;15
139591;Store 12;Project 2024_03;13
139370;Store 7;Project 2024_03;9
139488;Store 3;Project 2024_03;1
139342;Store 8;Project 2022_01;4
139379;Store 5;Project 2023_03;2
139445;Store 1;Project 2024_03;1
139568;Store 1;Project 2023_02;1
139464;Store 2;Project 2024_01;1
139476;Store 10;Project 2023_03;21
139609;Store 7;Project 2023_01;20
139316;Store 1;Project 2024_03;8
139477;Store 2;Project 2022_03;5
139571;Store 10;Project 2023_03;9
139343;Store 16;Project 2023_03;5
139581;Store 5;Project 2022_01;6
139621;Store 6;Project 2023_03;17
139389;Store 4;Project 2022_01;5
139318;Store 4;Project 2022_01;47
139435;Store 12;Project 2024_02;6
139576;Store 5;Project 2023_01;179
139315;Store 9;Project 2024_01;2
139606;Store 14;Project 2022_03;335
139471;Store 4;Project 2023_01;21
139314;Store 5;Project 2023_02;206
139486;Store 5;Project 2024_02;21
139472;Store 7;Project 2023_01;20
139479;Store 16;Project 2022_01;20
139500;Store 11;Project 2023_03;62
139564;Store 6;Project 2024_01;62
139475;Store 13;Project 2022_02;113
139435;Store 2;Project 2023_03;19
139616;Store 5;Project 2022_01;19
139642;Store 15;Project 2024_01;19
139626;Store 10;Project 2022_01;1
139575;Store 3;Project 2024_03;19
139417;Store 9;Project 2022_02;1
139342;Store 5;Project 2024_02;31
139427;Store 7;Project 2024_01;2
139524;Store 14;Project 2022_01;31
139388;Store 10;Project 2023_01;2
139580;Store 10;Project 2022_01;17
139414;Store 13;Project 2023_03;26
139314;Store 2;Project 2023_01;15
139351;Store 14;Project 2024_03;22
139618;Store 9;Project 2024_02;11
139555;Store 13;Project 2023_02;11
139575;Store 1;Project 2022_02;17
139328;Store 2;Project 2022_03;3
139399;Store 12;Project 2023_01;65
139463;Store 1;Project 2024_02;3
139633;Store 13;Project 2023_01;16
139623;Store 14;Project 2022_03;64
139482;Store 14;Project 2022_01;2
139427;Store 13;Project 2023_03;31
139385;Store 15;Project 2022_01;3
139538;Store 4;Project 2022_02;27
139597;Store 10;Project 2022_03;3
139430;Store 14;Project 2022_02;3
139407;Store 3;Project 2023_02;3
139391;Store 10;Project 2024_03;36
139594;Store 5;Project 2022_01;8
139380;Store 16;Project 2022_03;9
139382;Store 12;Project 2023_01;1
139564;Store 5;Project 2022_01;1
139349;Store 14;Project 2024_02;2
139358;Store 11;Project 2022_03;2
139538;Store 9;Project 2024_03;8
139341;Store 14;Project 2024_03;8
139323;Store 4;Project 2023_03;21
139487;Store 1;Project 2022_02;47
139363;Store 3;Project 2023_02;181
139473;Store 12;Project 2022_03;469
139464;Store 4;Project 2024_01;85
139466;Store 9;Project 2022_01;85
139453;Store 13;Project 2022_03;21
139319;Store 11;Project 2024_02;21
139389;Store 7;Project 2022_01;43
139433;Store 1;Project 2022_02;43
139382;Store 12;Project 2023_02;44
139328;Store 4;Project 2024_02;29
139304;Store 15;Project 2023_01;29
139407;Store 10;Project 2022_03;36
139477;Store 7;Project 2023_02;36
139315;Store 4;Project 2023_02;24
139472;Store 14;Project 2024_01;60
139547;Store 3;Project 2023_01;9
139329;Store 7;Project 2024_01;40
139373;Store 12;Project 2023_02;9
139335;Store 4;Project 2023_03;8
139422;Store 13;Project 2023_02;20
139523;Store 5;Project 2022_01;8
139618;Store 15;Project 2023_03;20
139359;Store 5;Project 2023_01;26
139427;Store 14;Project 2022_03;16
139465;Store 5;Project 2024_02;16
139506;Store 16;Project 2022_01;17
139545;Store 10;Project 2022_03;17
139472;Store 13;Project 2022_02;16
139418;Store 13;Project 2024_03;36
139503;Store 5;Project 2024_02;24
139307;Store 8;Project 2024_02;9
139630;Store 10;Project 2024_01;100
139367;Store 10;Project 2022_03;9
139591;Store 4;Project 2024_02;136
139462;Store 7;Project 2024_03;75
139336;Store 4;Project 2024_01;12
139419;Store 10;Project 2024_01;13
139490;Store 3;Project 2023_02;115
139463;Store 13;Project 2023_03;54
139563;Store 7;Project 2023_01;12
139600;Store 4;Project 2023_01;10
139425;Store 10;Project 2024_03;12
139607;Store 8;Project 2023_01;12
139558;Store 13;Project 2022_03;35
139625;Store 7;Project 2022_03;35
139421;Store 6;Project 2023_03;79
139616;Store 5;Project 2022_01;13
139413;Store 14;Project 2024_02;13
139367;Store 6;Project 2024_02;13
139522;Store 5;Project 2024_02;13
139437;Store 10;Project 2024_03;22
139359;Store 9;Project 2022_01;22
139544;Store 8;Project 2022_03;9
139413;Store 14;Project 2024_03;93
139568;Store 11;Project 2024_03;9
139302;Store 11;Project 2023_02;204
139530;Store 13;Project 2023_03;2
139491;Store 7;Project 2022_03;37
139446;Store 13;Project 2023_01;2
139444;Store 13;Project 2024_02;37
139538;Store 15;Project 2024_01;4
139309;Store 12;Project 2023_03;4
139489;Store 15;Project 2023_01;4
139342;Store 9;Project 2024_01;29
139587;Store 15;Project 2022_03;29
139378;Store 7;Project 2022_02;4
139384;Store 5;Project 2023_02;4
139504;Store 3;Project 2023_02;4
139612;Store 5;Project 2023_01;6
139612;Store 12;Project 2023_01;4
139353;Store 5;Project 2022_01;3
139456;Store 2;Project 2023_03;3
139600;Store 13;Project 2024_03;2
139617;Store 10;Project 2023_03;12
139588;Store 11;Project 2022_01;2
139312;Store 16;Project 2022_03;25
139375;Store 14;Project 2023_02;2
139300;Store 8;Project 2023_01;2
139528;Store 14;Project 2024_03;2
139530;Store 3;Project 2024_02;2
139567;Store 11;Project 2023_01;2
139438;Store 4;Project 2023_01;2
139540;Store 9;Project 2024_03;4
139337;Store 6;Project 2022_03;2
139585;Store 6;Project 2022_01;6
139460;Store 13;Project 2022_03;6
139413;Store 7;Project 2023_03;2
139341;Store 3;Project 2022_03;118
139309;Store 1;Project 2024_02;10
139603;Store 9;Project 2022_03;21
139538;Store 15;Project 2022_02;10
139405;Store 1;Project 2022_02;2
139641;Store 8;Project 2023_01;113
139367;Store 10;Project 2024_02;2
139595;Store 3;Project 2022_01;2
139529;Store 14;Project 2023_02;38
139507;Store 7;Project 2022_02;6
139423;Store 2;Project 2024_01;60
139527;Store 7;Project 2022_01;6
139332;Store 2;Project 2024_01;12
139542;Store 12;Project 2022_01;2
139466;Store 11;Project 2023_03;2
139642;Store 10;Project 2022_02;2
139603;Store 16;Project 2024_03;2
139513;Store 14;Project 2022_01;3
139619;Store 8;Project 2024_02;3
139442;Store 5;Project 2023_02;9
139622;Store 6;Project 2024_02;20
139512;Store 10;Project 2023_02;6
139623;Store 9;Project 2023_01;4
139453;Store 15;Project 2024_02;12
139461;Store 4;Project 2023_02;4
139428;Store 12;Project 2024_01;12
139452;Store 7;Project 2023_03;1
139303;Store 16;Project 2024_03;12
139424;Store 8;Project 2022_01;1
139386;Store 1;Project 2023_02;28
139399;Store 10;Project 2022_02;1
139458;Store 8;Project 2022_02;9
139363;Store 8;Project 2024_03;1
139328;Store 4;Project 2023_03;31
139337;Store 3;Project 2023_02;247
139455;Store 12;Project 2023_03;115
139318;Store 8;Project 2022_03;108
139462;Store 14;Project 2024_01;73
139308;Store 12;Project 2023_01;46
139596;Store 2;Project 2022_01;3
139461;Store 10;Project 2022_03;25
139549;Store 16;Project 2024_03;12
139506;Store 7;Project 2024_01;10
139394;Store 1;Project 2022_03;11
139395;Store 8;Project 2022_03;7
139620;Store 2;Project 2023_02;6
139397;Store 9;Project 2022_01;5
139476;Store 12;Project 2022_02;6
139592;Store 6;Project 2024_02;29
139476;Store 6;Project 2024_02;10
139466;Store 11;Project 2024_03;10
139325;Store 9;Project 2022_02;32
139454;Store 10;Project 2023_03;4
139425;Store 2;Project 2024_03;15
139418;Store 11;Project 2023_03;3
139481;Store 3;Project 2024_02;6
139352;Store 13;Project 2024_01;6
139316;Store 4;Project 2022_01;49
139445;Store 3;Project 2022_01;12
139510;Store 3;Project 2024_02;12
139543;Store 11;Project 2024_02;113
139559;Store 11;Project 2023_01;7
139325;Store 14;Project 2024_01;3
139469;Store 15;Project 2023_01;38
139459;Store 12;Project 2022_01;1
139380;Store 16;Project 2024_03;5
139311;Store 14;Project 2023_02;6
139397;Store 16;Project 2022_03;17
139309;Store 9;Project 2024_03;26
139551;Store 2;Project 2023_02;15
139313;Store 9;Project 2022_02;20
139470;Store 11;Project 2023_01;11
139468;Store 13;Project 2023_01;54
139543;Store 12;Project 2024_02;17
139562;Store 1;Project 2023_03;3
139639;Store 11;Project 2023_01;3
139472;Store 7;Project 2023_03;11
139577;Store 15;Project 2024_03;8
139483;Store 2;Project 2022_01;80
139382;Store 1;Project 2024_03;46
139581;Store 3;Project 2024_01;29
139385;Store 2;Project 2023_03;3
139417;Store 1;Project 2023_03;26
139591;Store 13;Project 2024_02;5
139503;Store 3;Project 2023_01;18
139371;Store 10;Project 2023_01;3
139334;Store 11;Project 2022_03;4
139376;Store 9;Project 2022_03;1
139372;Store 3;Project 2023_02;8
139610;Store 3;Project 2022_03;5
139419;Store 5;Project 2024_02;3
139409;Store 11;Project 2023_03;3
139372;Store 9;Project 2023_01;2
139306;Store 16;Project 2024_02;42
139371;Store 7;Project 2023_03;40
139578;Store 7;Project 2023_03;15
139395;Store 1;Project 2023_02;19
139351;Store 15;Project 2023_03;11
139561;Store 10;Project 2023_03;11
139437;Store 5;Project 2023_01;1
139396;Store 13;Project 2023_02;14
139324;Store 15;Project 2023_01;1
139606;Store 15;Project 2023_03;3
139504;Store 14;Project 2023_03;4
139493;Store 7;Project 2024_03;12
139598;Store 11;Project 2024_03;38
139588;Store 9;Project 2023_01;56
139564;Store 9;Project 2023_02;5
139527;Store 4;Project 2022_02;52
139611;Store 10;Project 2024_03;5
139530;Store 7;Project 2024_02;5
139428;Store 11;Project 2023_01;5
139304;Store 11;Project 2023_03;16
139547;Store 4;Project 2024_03;16
139387;Store 9;Project 2022_02;28
139407;Store 7;Project 2023_01;2
139471;Store 1;Project 2023_03;5
139533;Store 1;Project 2024_02;5
139547;Store 2;Project 2024_02;2
139532;Store 16;Project 2022_03;3
139617;Store 12;Project 2022_02;5
139551;Store 16;Project 2023_03;1
139400;Store 11;Project 2024_03;5
139586;Store 5;Project 2023_03;1
139458;Store 7;Project 2022_02;8
139504;Store 8;Project 2023_03;4
139439;Store 6;Project 2023_01;8
139596;Store 10;Project 2023_03;34
139635;Store 10;Project 2024_03;52
139572;Store 15;Project 2024_01;31
139395;Store 11;Project 2024_03;45
139351;Store 9;Project 2022_03;22
139494;Store 7;Project 2022_01;22
139319;Store 7;Project 2024_02;34
139408;Store 9;Project 2023_01;6
139444;Store 7;Project 2024_03;6
139634;Store 2;Project 2024_03;4
139422;Store 9;Project 2024_01;16
139583;Store 9;Project 2023_02;4
139403;Store 16;Project 2023_02;16
139335;Store 8;Project 2022_03;8
139421;Store 5;Project 2024_01;1
139376;Store 5;Project 2023_01;7
139620;Store 13;Project 2023_01;1
139528;Store 12;Project 2022_03;1
139566;Store 4;Project 2023_02;1
139384;Store 11;Project 2023_03;8
139361;Store 14;Project 2022_01;2
139564;Store 12;Project 2023_01;2
139493;Store 15;Project 2024_02;43
139529;Store 11;Project 2023_03;117
139556;Store 2;Project 2023_01;1
139335;Store 10;Project 2024_01;21
139522;Store 5;Project 2022_02;1
139499;Store 10;Project 2024_03;21
139601;Store 16;Project 2023_03;2
139322;Store 4;Project 2024_02;5
139478;Store 10;Project 2023_01;2
139396;Store 3;Project 2022_02;5
139585;Store 1;Project 2024_03;5
139531;Store 1;Project 2022_03;11
139470;Store 2;Project 2024_03;12
139511;Store 2;Project 2022_02;11
139581;Store 3;Project 2024_01;11
139628;Store 13;Project 2024_03;7
139617;Store 1;Project 2023_02;7
139514;Store 7;Project 2022_02;9
139439;Store 1;Project 2023_01;9
139618;Store 5;Project 2024_02;6
139604;Store 12;Project 2024_02;15
139331;Store 14;Project 2024_01;10
139477;Store 6;Project 2023_03;2
139479;Store 1;Project 2022_01;2
139526;Store 16;Project 2022_03;25
139548;Store 2;Project 2022_02;34
139457;Store 8;Project 2022_02;3
139447;Store 16;Project 2022_03;29
139576;Store 7;Project 2024_01;3
139403;Store 12;Project 2022_01;3
139380;Store 13;Project 2022_01;3
